萼长,萼宽,瓣长,瓣宽,类别
5.1,3.5,1.4,0.2,山鸢尾花
4.9,3,1.4,0.2,山鸢尾花
4.7,3.2,1.3,0.2,山鸢尾花
4.6,3.1,1.5,0.2,山鸢尾花
5,3.6,1.4,0.2,山鸢尾花
5.4,3.9,1.7,0.4,山鸢尾花
4.6,3.4,1.4,0.3,山鸢尾花
5,3.4,1.5,0.2,山鸢尾花
4.4,2.9,1.4,0.2,山鸢尾花
4.9,3.1,1.5,0.1,山鸢尾花
5.4,3.7,1.5,0.2,山鸢尾花
4.8,3.4,1.6,0.2,山鸢尾花
4.8,3,1.4,0.1,山鸢尾花
4.3,3,1.1,0.1,山鸢尾花
5.8,4,1.2,0.2,山鸢尾花
5.7,4.4,1.5,0.4,山鸢尾花
5.4,3.9,1.3,0.4,山鸢尾花
5.1,3.5,1.4,0.3,山鸢尾花
5.7,3.8,1.7,0.3,山鸢尾花
5.1,3.8,1.5,0.3,山鸢尾花
5.4,3.4,1.7,0.2,山鸢尾花
5.1,3.7,1.5,0.4,山鸢尾花
4.6,3.6,1,0.2,山鸢尾花
5.1,3.3,1.7,0.5,山鸢尾花
4.8,3.4,1.9,0.2,山鸢尾花
5,3,1.6,0.2,山鸢尾花
5,3.4,1.6,0.4,山鸢尾花
5.2,3.5,1.5,0.2,山鸢尾花
5.2,3.4,1.4,0.2,山鸢尾花
4.7,3.2,1.6,0.2,山鸢尾花
4.8,3.1,1.6,0.2,山鸢尾花
5.4,3.4,1.5,0.4,山鸢尾花
5.2,4.1,1.5,0.1,山鸢尾花
5.5,4.2,1.4,0.2,山鸢尾花
4.9,3.1,1.5,0.1,山鸢尾花
5,3.2,1.2,0.2,山鸢尾花
5.5,3.5,1.3,0.2,山鸢尾花
4.9,3.1,1.5,0.1,山鸢尾花
4.4,3,1.3,0.2,山鸢尾花
5.1,3.4,1.5,0.2,山鸢尾花
5,3.5,1.3,0.3,山鸢尾花
4.5,2.3,1.3,0.3,山鸢尾花
4.4,3.2,1.3,0.2,山鸢尾花
5,3.5,1.6,0.6,山鸢尾花
5.1,3.8,1.9,0.4,山鸢尾花
4.8,3,1.4,0.3,山鸢尾花
5.1,3.8,1.6,0.2,山鸢尾花
4.6,3.2,1.4,0.2,山鸢尾花
5.3,3.7,1.5,0.2,山鸢尾花
5,3.3,1.4,0.2,山鸢尾花
7,3.2,4.7,1.4,变色鸢尾花
6.4,3.2,4.5,1.5,变色鸢尾花
6.9,3.1,4.9,1.5,变色鸢尾花
5.5,2.3,4,1.3,变色鸢尾花
6.5,2.8,4.6,1.5,变色鸢尾花
5.7,2.8,4.5,1.3,变色鸢尾花
6.3,3.3,4.7,1.6,变色鸢尾花
4.9,2.4,3.3,1,变色鸢尾花
